GYRO;0.716;1696.781;-0.20644;0.05726;0.38217;3
AHRS;0.717;1696.782;25.7294;-1.1676;-158.6434;-0.03149;0.22062;0.95839;3
MAGN;0.733;1696.805;-9.43750;-38.25000;-21.56250;3
ACCE;0.737;1696.803;0.06984;4.26324;8.73995;3
GYRO;0.738;1696.802;-0.16223;0.10125;0.40919;3
AHRS;0.739;1696.803;25.4730;-1.3174;-158.1399;-0.03079;0.21858;0.95812;3
MAGN;0.753;1696.825;-9.50000;-37.93750;-21.93750;3
ACCE;0.756;1696.823;-0.51832;3.92403;7.96813;3
GYRO;0.756;1696.821;-0.35442;0.14270;0.23243;3
AHRS;0.757;1696.823;25.2875;-1.4171;-157.6518;-0.03058;0.21706;0.95770;3
MAGN;0.773;1696.845;-9.93750;-37.56250;-22.25000;3
ACCE;0.777;1696.843;-0.39725;4.73883;8.46346;3
GYRO;0.781;1696.841;-0.53699;0.06922;0.46757;3
AHRS;0.784;1696.843;24.8557;-1.3725;-157.3548;-0.03078;0.21330;0.95800;3
MAGN;0.793;1696.865;-10.31250;-37.18750;-23.00000;3
ACCE;0.798;1696.862;0.22328;4.14769;9.09846;3
GYRO;0.799;1696.861;-0.51529;0.15170;0.52452;3
AHRS;0.800;1696.862;24.2919;-1.5175;-156.8407;-0.02955;0.20870;0.95819;3
MAGN;0.812;1696.885;-10.68750;-37.00000;-23.12500;3
ACCE;0.817;1696.883;0.06687;3.69464;9.91999;3
GYRO;0.817;1696.881;-0.18832;0.18474;0.57404;3
AHRS;0.819;1696.883;23.6264;-1.6163;-156.1371;-0.02881;0.20313;0.95818;3
PRES;0.820;1696.885;1006.3989;3
MAGN;0.832;1696.905;-10.75000;-36.87500;-23.06250;3
ACCE;0.835;1696.902;0.34547;3.77540;9.59261;3
GYRO;0.836;1696.901;-0.02416;0.43010;0.56074;3
AHRS;0.839;1696.902;23.4050;-1.6857;-155.4624;-0.02902;0.20124;0.95738;3
MAGN;0.852;1696.925;-11.00000;-36.62500;-23.12500;3
ACCE;0.856;1696.923;0.52444;3.68108;9.30194;3
GYRO;0.857;1696.921;0.03643;0.38766;0.49620;3
AHRS;0.858;1696.923;23.3571;-1.4598;-154.7286;-0.03210;0.20023;0.95607;3
LIGH;0.868;1696.935;245.0;3
MAGN;0.872;1696.945;-11.12500;-36.43750;-23.12500;3
ACCE;0.875;1696.943;0.34835;3.66132;8.55136;3
GYRO;0.876;1696.941;-0.13528;0.11198;0.33762;3
AHRS;0.877;1696.943;23.3838;-1.2714;-154.1398;-0.03475;0.19993;0.95486;3
MAGN;0.893;1696.965;-11.37500;-36.18750;-23.25000;3
ACCE;0.896;1696.963;0.10109;3.86973;8.40535;3
GYRO;0.897;1696.961;-0.45684;-0.18989;0.27695;3
AHRS;0.899;1696.963;23.2131;-1.3107;-153.7020;-0.03485;0.19845;0.95433;3
MAGN;0.912;1696.985;-11.75000;-35.81250;-23.31250;3
ACCE;0.915;1696.982;0.15030;4.01811;8.92488;3
GYRO;0.915;1696.981;-0.55631;-0.33982;0.35746;3
AHRS;0.917;1696.982;22.7362;-1.6234;-153.4063;-0.03181;0.19500;0.95464;3
MAGN;0.932;1697.005;-12.12500;-35.50000;-23.68750;3
